n,id,story_type,evaluation
87,c6e479dc-63f0-411b-88bb-18793effe6ca,positive,positive
88,72422038-b137-48f8-be16-5a434565fa48,positive,positive
89,37fa0063-d3e8-4a40-baa0-002b096139b0,positive,positive
90,f29f7166-c927-4498-8329-6cc132dad229,positive,positive
91,d342192d-eb22-45de-8e35-6e9e4d718fe7,positive,positive
92,5d24e0a9-d5d3-402a-92e2-a8d2cf551ef8,positive,positive
93,dabc8ff5-1526-4081-b27e-ac4a74a9df31,positive,positive
94,0e1870c7-010b-4334-95d8-2a7c8739c6bd,positive,positive
95,58c275f4-aa75-4cac-9442-d1020626cee3,positive,positive
96,6bc11c12-61ea-4640-a8b3-dd75dfcf1149,positive,positive
97,e2c7c214-0590-40d0-bc51-8e636842f377,positive,positive
98,3beaf385-a98e-4f76-951e-c689ff9ed083,positive,positive
99,3365c1ef-f211-461e-964f-3dde32354e7a,positive,positive
100,2a24a9ae-9c05-4bbd-8411-c8dc47418b18,positive,positive
101,117d03d0-7a23-4b41-9618-ac7020e8c253,negative,negative
102,5107ed1a-c11e-4542-959a-c8f8af893512,negative,negative
103,bd69d108-6712-4da5-bf43-5ec7cc96e653,negative,negative
104,64798fcc-6863-4063-9a0f-174619aa876d,negative,negative
105,8fc501de-d7bd-469d-8b5e-29d2ce2c47f2,negative,negative
106,87b1fea0-0a41-4954-b2f9-8830bcd67acd,negative,negative
107,832c70fa-17be-42f4-8caa-807f292c06c1,negative,negative
108,9d3f7b98-25e4-40d0-8e71-194e64d3e879,negative,negative
109,cc651048-9b44-4cdd-8d98-8977aec94377,negative,negative
110,db20cde3-1d56-434f-a69c-d6402da5d031,negative,negative
111,6bf96d4d-6d8b-4b28-a815-d324768cde1b,negative,negative
112,71ad1840-3fa3-4026-965b-f6b8f09779b5,negative,negative
113,3ce82665-34f5-47a3-8fab-dfbd53a40349,negative,negative
114,6b86d893-adb7-485b-89f1-ec60a7cb2205,negative,negative
115,1c88807e-df35-4e50-a2f5-d99a125a1ab0,negative,negative
116,7b514cbe-625b-4e6d-b56b-c9e51904f1d0,negative,negative
117,3c9d3571-65e0-4135-9ab4-a71e25985c70,negative,negative
118,f599c7e3-29a7-4b5a-b37f-0a7abbbc6d25,negative,negative
119,5b52f809-def3-4eda-9d3e-df2540d9b585,negative,negative
120,56513617-6188-49a7-be9e-eb36755aa29f,negative,negative
121,eac47cdc-9d42-4803-ac78-d5fb2c9f82f1,negative,negative
122,a41ae815-f88b-4b0a-b846-f84327549b7b,negative,negative
123,6cf543b8-da89-4b39-8990-7b7bcea6bd4d,negative,negative
124,61491563-02a2-4c60-bebd-0e4fb1db3cfc,negative,negative
125,f1dd460c-1f2c-49ca-8ccf-c9122a1c19d2,negative,negative
126,1e73617f-0501-466c-8aa7-81397555b52b,negative,negative
127,9ebd98f0-1d91-4903-ac59-85138b0562d7,negative,negative
128,36312cfe-d195-46c5-b156-376fd52fee8e,negative,negative
129,d786b381-9ca4-4ad2-a868-7a82c9970c52,negative,negative
130,edea93c6-53e8-43d9-aa8b-70008d4ae577,negative,negative
131,1d7197e2-4718-4723-b759-b5977dd6e1d7,negative,negative
132,265b05e7-4aa0-4080-bbfc-76aaf15a68e2,negative,negative
133,8527a59e-75db-40f0-a4bb-93e683131576,negative,negative
134,1f25b90f-ff10-4dce-8e4d-5bf728634d5f,negative,negative
135,93c20d3c-00e9-469c-bda2-06ac11b156ca,negative,negative
136,ae3cdb47-8c05-48dd-853f-6a39dfe3db37,negative,negative
137,2f565301-0086-4609-8a1e-6c924f6c6f57,negative,negative
138,634732c8-c608-49e3-b5a8-367a8b390132,negative,negative
139,d8ae7366-06fb-4719-8986-1755b7f61543,negative,negative
140,d8e99ce6-b13a-43b6-ab90-761691419534,negative,negative
141,22ac6fe7-cbd2-4235-9ac7-33a2d16fe265,negative,negative
142,8b5994b4-fd00-4807-8887-8ac3b71d4e3d,negative,negative
143,0d79d725-652f-4df2-8658-e52731eae1bb,negative,negative
144,877289fe-1afb-42d9-a8fe-49b7869f3149,negative,negative
145,61575449-f377-45e9-a0b6-d07e9fc604b9,negative,negative
146,12e25b18-a633-457d-b0e4-22e9b9ce748e,negative,negative
147,3d1e0b24-3129-468d-8246-ab82f6a23760,negative,negative
148,da7a449d-c8d5-4e5f-b238-fea7b49f7ee2,negative,negative
149,26c295e1-f198-466c-b4bb-16a8fe7077bf,negative,negative
150,115b105e-2295-4bab-aca8-979783858626,negative,negative
151,5544fe86-8bfa-4fa0-a349-667be6ba963d,negative,negative
152,c24b2e23-c6df-4003-919f-a1570d078d97,negative,negative
153,7273baff-e883-4c17-b73a-e878de2e7faf,negative,negative
154,3c81686f-04c1-4552-afc8-0e39423647f9,negative,negative
155,4bdbb375-40a0-46bd-99bc-ccd019bebd7f,negative,negative
156,50a76049-4c3d-4f0f-914f-657bacf69cd9,negative,negative
157,77e4ce37-e658-4630-aa83-ab3ccc5ced79,negative,negative
158,32d81b4a-f913-40ae-b725-2b23e078e615,negative,negative
159,cfa1e53b-4f92-4b28-a5e6-2261369a3fda,negative,negative
160,6cda9b18-32e5-4fb3-8756-1854f260419c,negative,negative
161,c65354b5-c3fb-46dc-b80b-2ddc868a6757,negative,negative
162,5d788225-9e27-480c-b1da-0b106fc30a00,negative,negative
163,6b18d01d-0cbe-49e8-a46c-6d332606a260,negative,negative
164,561e80cc-1e79-4e2d-a295-5fa7040d289d,negative,negative
165,b43cb4ab-cada-4967-8426-9d2c39dfba26,negative,negative
166,90739797-34d4-459d-af0d-909c94e533e5,negative,negative
167,5b579a25-1b40-4382-b47c-3acc60eb7bff,negative,negative
168,f431d02c-37f2-4b43-ac8d-f9b1888083d3,negative,negative
169,474a6a39-a1a1-4d75-a20e-5bcb215e4ae3,negative,negative
170,c707481c-13ef-4ba9-a168-b9e6a163a564,negative,negative
171,7b24659d-4d28-4f98-b951-886e09dbbf8a,negative,negative
172,651f120d-4f25-485f-bf38-24c63b2e8ff7,negative,negative
173,c603308f-de2f-46e2-bc54-42f2f9f04c84,negative,negative
174,7b5c3060-16ce-4057-9b06-e3df263aac94,negative,negative
175,46c98bb8-867b-40ee-b43f-ec6ae2820150,negative,negative
176,ac4aa18c-2170-40bd-9338-8a3458368b50,negative,negative
177,83f657c2-a88f-4e2a-a1ec-e9d7652cf87d,negative,negative
178,c3072546-3a4f-4b37-aa4a-d2dd03366401,negative,negative
179,e633de63-43e8-4f1b-be17-eb3d96c41ec5,negative,negative
180,d84d2bcd-daa6-4c55-b566-807ea1f85904,negative,negative
181,dbb8da07-8c6f-456d-893f-13ab6ecec7c7,negative,negative
182,25ab435c-60e8-4225-9cff-79e8152b1f96,negative,negative
183,40157a53-ef8d-4761-bf4c-07e60a42467a,negative,negative
184,70986974-6b43-45b3-8073-32f0a5e20180,negative,negative
185,c34951ab-bd79-48a5-9225-fb1150e0e9f0,negative,negative
186,1e8578f7-f660-4fbb-988e-16e83763b17b,negative,negative
187,e8b381a4-2c46-4fc0-82f6-e4d2712a00b7,negative,negative
188,dd952912-75da-4a8b-9243-adfcae1c4c8a,negative,negative
189,383b32ae-7f28-4d90-806a-0953af7d842e,negative,negative
190,1887dfc1-cf3c-476d-b007-3b9546ee56ab,negative,negative
191,9b047819-97be-42fd-a93e-c4c4921fd9fd,negative,negative
192,4d165e9a-480d-40fd-a7cb-7eb32f259f7b,negative,negative
193,46f0a2f2-68c2-4540-99a9-db67645bb816,negative,negative
194,b5089072-67a3-4863-8904-0a1ef60793ed,negative,negative
195,4cb2d3e5-ab85-439c-a152-775567cbba14,negative,negative
196,db707ef4-1aa6-45a3-9322-a19a734f5a1c,negative,negative
197,ac2ce7be-87d3-49c0-a6ac-1d40dcfff9c1,negative,negative
198,2a79f3fd-2a59-473f-9880-4743ed3a3b48,negative,negative
199,17c90169-b54b-42d7-a4cd-2f92d21e3d6d,negative,negative
200,9e5ed87f-a67e-4c19-8193-af4422cd396c,negative,negative
201,de20b9a9-f775-46e8-a83e-1cb3bd9c9108,neutral,neutral
202,5c06703a-14c6-4665-ab24-98d20aac2af3,neutral,neutral
203,c6c32233-c366-4fdb-bc4c-e1beb2a27516,neutral,neutral
204,618212c6-6ac7-4c46-ae38-a460817432d6,neutral,neutral
205,d9b7e07e-c739-4908-a8ca-62c1a15de37c,neutral,neutral
206,838797b4-4f58-46a5-95e2-ff9d8fcd6e2e,neutral,neutral
207,7a37eaf8-0daf-4e87-b81b-36c36527f596,neutral,neutral
208,2d40d53b-f1c1-4192-be52-5980ab8dfe85,neutral,positive
209,432ca2cd-b9de-4ce6-942e-357d9b91cd62,neutral,neutral
210,972ca807-a176-4304-8b05-72fec0f7e479,neutral,neutral
211,5fac2faa-988b-49c2-9124-f7a050b49094,neutral,neutral
212,69a3fe0d-588a-485f-aa9e-b7bb5f311b34,neutral,neutral
213,7a07c0d8-20c5-415b-9e55-7f9cda2b40a8,neutral,neutral
214,a6c2726f-7170-4ea9-966e-87678bfc243d,neutral,positive
215,766040dd-a69f-4234-b309-844cbfff8cfc,neutral,neutral
216,7eae1c5c-3770-45f5-9fe6-45270bf530b6,neutral,neutral
217,23bb9a1e-2d70-4a5a-810a-45fd734d153e,neutral,neutral
218,5a59c047-eb53-490f-a645-19b802c0e483,neutral,positive
219,0ee5f07b-8ad0-4b0f-99f1-250bf1693edb,neutral,neutral
220,cb148d2d-5252-465a-b211-96f38b2dfa4c,neutral,neutral
221,3e9e0ceb-1b25-4e0d-8339-5f10f697d580,neutral,neutral
222,7650bf02-23d1-4312-9d40-91134bf40488,neutral,neutral
223,a003b811-c6ba-408a-8a54-603ed4d52381,neutral,neutral
224,e4d37b5c-7194-4db1-be2b-45d248e2172b,neutral,neutral
225,02a4c07c-b99e-41ac-a11a-232af76d7685,neutral,positive
226,4cf04a89-1acb-46ea-a1d9-384bb27b026a,neutral,neutral
227,1306bcfa-fcc7-4d83-80e8-092bcccf22c0,neutral,positive
228,6f17feba-e7e2-4fe6-833b-c1306ccdf98f,neutral,positive
229,10996133-5472-428e-9a5b-62ca1c755a7b,neutral,neutral
230,dddb9d33-9987-489a-8244-0d6f72294242,neutral,neutral
231,f0b3a675-f8f0-412e-8e1f-6f9a9f69d714,neutral,neutral
232,74973ba5-eaf9-4420-9ce8-b30bff5b68f7,neutral,neutral
233,02b37cbd-3105-48d5-9da6-5c762108fb76,neutral,neutral
234,92f7d7b6-0338-4d6c-a4b5-305fd334766e,neutral,positive
235,a7cd46a7-531f-4ad6-bc2f-83a217fe949d,neutral,positive
236,3e27039e-c502-457a-9794-0292e2a79150,neutral,neutral
237,004cb1ef-b2e0-4ee8-9fcf-837362010b0e,neutral,neutral
238,e4abe4ae-38a2-4057-9367-b0586ddf5e04,neutral,neutral
239,75d9389b-6040-4b2c-b028-9707d8988650,neutral,positive
240,53245ca6-877c-449d-a792-d99df43ea1e6,neutral,neutral
241,bec5c18d-3abf-4703-a1cf-2ef8aa27556a,neutral,neutral
242,b1aa1f60-4b67-4554-86f1-65b2e215fd42,neutral,neutral
243,032e52e9-ff87-4d27-a5ce-08de15023d61,neutral,neutral
244,7d7d28c2-9a3b-4965-904b-e1ae66d0afa3,neutral,positive
245,1a0590c0-ede3-42f7-8fde-1c29ef5768ca,neutral,neutral
246,ed01fc9b-a50f-43c3-b3b9-8aefc1163cd5,neutral,neutral
247,6b81e26c-b771-4339-bad7-6fcee65c1170,neutral,positive
248,8a2b6834-93b1-4589-9715-5952b18e2697,neutral,neutral
249,85a4129e-dcf4-4cfa-8d0f-5159fc6797bd,neutral,neutral
250,b6008b34-8fa7-4751-966f-df9536307cfd,neutral,neutral
251,3483bc05-31e0-43dc-9a7a-796375f5ba69,neutral,positive
252,2a43645d-3b06-4fa6-bd13-e29b6611ccc7,neutral,neutral
253,ad7987bd-ab1d-4990-b601-b78bb97f3734,neutral,neutral
254,a88ac966-549e-4507-961f-cd6aa7c972cb,neutral,neutral
255,488e0c4e-4aa5-4cc3-8329-3270fd040ac5,neutral,positive
256,468672cc-d785-4370-86f7-3a2543ea9b21,neutral,positive
257,9ffde149-422a-4f64-a755-4686da5f0c4a,neutral,neutral
258,f2134ea6-11d7-43da-8c40-d6f9aac96c49,neutral,positive
259,f3b3ef97-44dc-464f-ac60-8b9ae31570fc,neutral,neutral
260,1829297d-fe4d-4625-a63e-e82e08884bbf,neutral,neutral
261,80e8e84d-a456-4848-95b3-8b8e3f47d6a9,neutral,neutral
262,f4295916-e502-4df4-b0bd-e9c14dd5efcd,neutral,neutral
263,7ee69139-979a-4957-896b-586744ecf833,neutral,neutral
264,4760b679-b087-4429-a8c3-9b94e98cac7e,neutral,neutral
265,1f4824a8-0db9-4c5e-8893-0af873ff709f,neutral,neutral
266,b9435da7-37c1-4ac0-97df-b20d5f6096cc,neutral,neutral
267,3d952f23-bb50-4713-a2a3-73eb7c33aad2,neutral,neutral
268,47e293ec-af12-40de-9893-0602bcf9d291,neutral,neutral
269,d7275398-b8aa-49e2-b859-3446adde4c5e,neutral,neutral
270,acf00f68-ac62-400c-9805-1d107961633a,neutral,neutral
271,2361f6ff-5452-4278-a8af-37eb28481e80,neutral,neutral
272,050bda47-333f-43f1-936c-a1cfd828324b,neutral,neutral
273,3a0e74a9-634b-469e-a52e-4fa3a05fa4cc,neutral,neutral
274,69f91be5-cfc8-4e1c-98db-fcbda97dc74e,neutral,positive
275,4fb62bcc-338a-43ab-ba7f-a0629212cba1,neutral,neutral
276,844de4b1-73fe-49a2-a4c7-a7a5ef04ee8f,neutral,neutral
277,d80ced17-ea8e-4bc4-af35-0afbde88a572,neutral,neutral
278,3e654e48-4505-47e6-a46a-65e57bb30ead,neutral,neutral
279,36258c6f-759c-4fda-9252-8433f326e614,neutral,neutral
280,1ca62ed3-9cc2-4096-9923-d1a9eb079bab,neutral,neutral
281,29175639-03db-4736-846d-0241dc8fde36,neutral,neutral
282,d19f027e-b738-4cf5-878b-55c427386b15,neutral,neutral
283,df96e580-7503-4661-9995-1bfabf7d8e8a,neutral,neutral
284,9ea70b5c-ddfa-4097-a614-6d5246752577,neutral,neutral
285,a8c6cb3b-e212-4003-abb3-60ca564cce1e,neutral,neutral
286,78e034ab-60a6-446e-a96d-d0feaa0af5b9,neutral,neutral
287,f16681ed-bda9-400c-a317-e98cb25ebdce,neutral,neutral
288,5e575d9f-b379-468a-a8a6-80303561267d,neutral,neutral
289,2b5da3cf-f766-4017-9c6e-51d5831f0926,neutral,neutral
290,74c23eb5-bb8b-4938-8865-3f2381206930,neutral,neutral
291,205afa86-afd3-45a5-b5aa-ee15b1dc065e,neutral,positive
292,63dd9eb3-ee63-4b44-931f-23775b805ab6,neutral,neutral
293,d4491c53-097c-41d1-825b-3eaab8cfde5d,neutral,neutral
294,43f007cc-6531-4b91-9773-755e62f86c3b,neutral,positive
295,809844a5-4575-438e-9dce-739f15891da6,neutral,positive
296,634c6201-aefd-49bf-9219-3fa28d68754b,neutral,neutral
297,8fc9175a-c3b4-4675-9eda-e7326246ccc1,neutral,neutral
298,fc5dc73e-ecbc-4ae2-8b8a-019d916df8de,neutral,neutral
299,cb13c2bc-0ad0-4130-97aa-d42ae9ca930f,neutral,neutral
300,32be42ed-9f72-4e70-ab27-5792dc74012a,neutral,neutral
1,2e4d7fc1-e423-47f6-984d-df0900e2206b,NA,positive
2,21100d35-2d85-4dc0-ae55-9314d7a13271,NA,positive
3,ed6379c3-b706-4e02-883f-c765f3aa0749,NA,positive
4,63b68f6d-c969-4abb-b8d1-763e758a47e8,NA,positive
5,a8157b48-811a-4ed3-9b56-6bb9e230486f,NA,positive
6,cf1e0fe0-8184-4591-bc19-68843f2a9a2b,NA,positive
7,0ec94f58-2816-4db6-8a7f-b0c0f3262ca1,NA,positive
8,873493b5-f8a8-41cb-bcbe-bf1441e636d9,NA,positive
9,b4aaab16-b6b8-4887-b8c3-d235c0325a3c,NA,positive
10,b8b2bfd7-0945-4dc7-93d6-b986a3f087d5,NA,positive
11,2d6234b7-9f6d-4ff4-b234-647e4d315aad,NA,positive
12,f2374e6a-031d-4b1f-a133-5fe82ba1d090,NA,positive
13,547eb275-f38c-44ac-9695-c50bf73a25c0,NA,positive
14,ae0e12fa-db1d-4e49-8019-9c02ca105f57,NA,positive
15,e037abd5-ec1d-446d-a338-abc66c923899,NA,positive
16,32894ede-a94e-4495-bcaf-3abed7c61d47,NA,positive
17,2232b276-be69-4f6a-8e8f-e6f6f6c53380,NA,positive
18,3a040312-e0c5-46ca-be20-479a6d358e4c,NA,positive
19,3ce22b46-861e-4503-a4be-7c35bd4bce1a,NA,positive
20,51e80748-e34d-45d0-9543-aabc803c026e,NA,positive
21,e9021804-a4c8-4d5c-9671-f9c6fd3f8463,NA,positive
22,966e9c15-50c4-4f75-9521-f216535ea3c4,NA,positive
23,943626bc-ea3b-4e2d-8a3f-0f18d4cc2773,NA,positive
24,dae2effe-4bf5-4b4a-a58e-57d224848263,NA,positive
25,259b76b9-b7e5-418f-b5bd-2939197578e8,NA,positive
26,270a3740-cbd2-4103-b012-0c89dfddc7ac,NA,positive
27,9b53022b-a9de-4a9d-9435-493bc45d9def,NA,positive
28,93be2466-60f7-4b70-87fc-a6d9a8d78dcd,NA,positive
29,4bbe13f4-f49a-4b5f-8537-5c5774833cc0,NA,positive
30,56f4813a-84fa-4d6d-8613-5f909aad2c73,NA,positive
31,13d2f5bd-cdfd-472f-822c-bec0fb6ee33d,NA,positive
32,243147bd-7895-4c35-9d83-6f8d0efb5188,NA,positive
33,25cf8b75-4abd-4cb4-a016-ce24fce47d8c,NA,positive
34,b097ef2a-5c70-4ade-9e1d-65d345836e45,NA,positive
35,3a6fca04-67f1-462e-87ae-be068e015702,NA,positive
36,511b6508-1401-49a6-a057-50f8699af747,NA,positive
37,7016f351-b71e-4abf-b89e-d9b12bd74ad3,NA,positive
38,b4fe7414-940d-4481-9224-08f4b1c4d1ce,NA,positive
39,0914307c-7490-4b7c-b6ec-a224b3796fd8,NA,positive
40,680e18c3-84f4-47b1-9771-6742715d3798,NA,positive
41,e7cde25f-e975-474c-a51a-9520460335c1,NA,positive
42,31c73b3e-8d77-45fa-8376-ea4db805d337,NA,positive
43,a3068237-1a1c-4665-94ca-ee47955aeea5,NA,positive
44,ff62fcdf-9a1b-4771-b8b8-aeba2652589e,NA,positive
45,16a6d573-4b4d-4d2f-9a3a-27e7546763aa,NA,positive
46,44b8a881-5799-4957-a60c-2b35766d90f1,NA,positive
47,39230a68-10f3-4ee5-b1b1-49d18291917b,NA,positive
48,37868510-b741-407d-870c-bbb41e893ee5,NA,positive
49,eab1a5e5-afe8-492d-9851-ebfa761cef7a,NA,positive
50,bd7f33f1-9011-420b-95d3-280229730c6c,NA,positive
51,b835c55d-8419-42e7-84e4-2c4ad577fe74,NA,positive
52,7620288a-4bf7-4341-8684-4c56fde70bfd,NA,positive
53,78bcd549-625e-4f5c-aad5-245ebffad4f3,NA,positive
54,4a7c6866-9afc-4535-a2d7-70815b9dae48,NA,positive
55,f0b46e5e-d464-47ca-8d08-8dd8cad68983,NA,positive
56,a7d75f6c-0f2f-4a5f-bdcf-a9b127dc7d3b,NA,positive
57,bcfe00a2-c096-4d6f-a6a8-9005f6fec6c7,NA,positive
58,e15921a6-a77f-40b7-a0e3-9886816fdb71,NA,positive
59,8dd96a0e-a215-427a-aa56-c2f3674e99ce,NA,positive
60,21944a23-0c41-4882-9e02-478d953cf2c1,NA,positive
61,d9cbdade-cf9d-4869-852b-427604a671e5,NA,positive
62,92bf672a-c86d-4e02-a135-3fb44206ff86,NA,positive
63,7c5fd501-3273-4d8c-beac-d241248be4c3,NA,positive
64,9ba818a2-5977-4c51-8fa2-b4196dfeeed7,NA,positive
65,724ebed9-02db-43b5-a0a0-021cfc060216,NA,positive
66,b2ccbb4c-75f7-4a00-ae6e-80c279bc5acf,NA,positive
67,6e738ac2-382e-44d3-a13b-f55ee92065fb,NA,positive
68,a9a54d25-ca03-4d58-a9d7-65db6b6cfa78,NA,positive
69,39256790-c169-4c3a-98e2-c3579b459512,NA,positive
70,9767ed31-97c5-4839-a5ff-d3838a924f64,NA,positive
71,c2a8ccfa-c243-45ac-b144-ed445ba29711,NA,positive
72,ee7555a5-2192-49f0-aee3-3883c09303c3,NA,positive
73,c90ad9fa-0796-4777-8fad-b0ff5fae3d9d,NA,positive
74,186fa7f6-0e1c-41d1-8d6b-1fee0f145dc9,NA,positive
75,61533490-01b3-496c-8748-a921c9007d97,NA,positive
76,1b11fdb7-5975-4a5d-8642-491383002f71,NA,positive
77,7c48dfdd-94a4-4ffc-86f2-7ccabbe4e589,NA,positive
78,1a8f9bf6-4282-4ee4-b6c8-00a4c25f4eda,NA,positive
79,869adc2c-3c11-49b4-ade0-3cb2fd98c07b,NA,positive
80,588d7fcc-0e31-4d95-9775-234d0dc53ee5,NA,positive
81,abe66a0c-f701-4a14-8cd5-4b8fa7ea72e1,NA,positive
82,a60ae28d-e642-412e-a9f8-d593316004f2,NA,positive
83,9f9dcc2e-b22d-4885-bbbf-1ec64c32d056,NA,positive
84,880dbfb5-2ac4-4d92-b46a-7a0a736ffa63,NA,positive
85,eaa8116d-09d2-4b1b-a131-9a559731bbb3,NA,positive
86,6e8206b6-737a-4bee-b90a-1814dfbb1587,NA,positive
87,2ae44efc-f400-4c81-a22e-1919df8f87ac,NA,positive
88,f85660e7-fcec-4222-8610-039576a57ea6,NA,positive
89,771bbda7-c430-42bd-a173-c2aeb3db4144,NA,positive
90,9a0fa4cd-5abd-4911-b797-f4d6bb9d88aa,NA,positive
91,b5dfb24c-d2d0-448f-b54c-2272ae6e39b1,NA,positive
92,6d55c73d-5be3-450e-9f90-54b0fb3f9317,NA,positive
93,d6a112c0-f905-4bd4-ac14-16097d2bed25,NA,positive
